holdepladsnr,navn,type nr,type navn,type ikon,etrs89koordinat øst,etrs89koordinat nord,wgs84koordinat bredde,wgs84koordinat længde,rejseplanen herfra,rejseplanen hertil,rejseplanen herframobil,rejseplanen hertilmobil,rejseplanen afgangstavle,rejseplanen ankomsttavle
8603301,Vanløse st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,719473,6176804,55.6872974900022,12.4916642210772,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603301&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603301&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603301&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603301&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603301&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603301&boardType=arr&time=now&start=yes
8603302,Flintholm st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,719975,6176670,55.685868526571,12.4995265479892,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603302&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603302&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603302&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603302&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603302&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603302&boardType=arr&time=now&start=yes
8603303,Lindevang st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,720827,6176447,55.6834818344772,12.5128727823056,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603303&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603303&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603303&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603303&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603303&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603303&boardType=arr&time=now&start=yes
8603304,Fasanvej st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,721436,6176291,55.6818054503586,12.5224142313175,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603304&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603304&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603304&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603304&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603304&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603304&boardType=arr&time=now&start=yes
8603305,Frederiksberg st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,722167,6176261,55.6812025514164,12.5339932974764,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603305&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603305&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603305&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603305&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603305&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603305&boardType=arr&time=now&start=yes
8603306,Forum st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,723322,6176389,55.6818207545443,12.5524304647436,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603306&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603306&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603306&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603306&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603306&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603306&boardType=arr&time=now&start=yes
8603307,Nørreport st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,724480,6176674,55.6838427596616,12.5710441654323,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603307&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603307&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603307&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603307&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603307&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603307&boardType=arr&time=now&start=yes
8603308,Kongens Nytorv st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,725398,6176202,55.6791847414513,12.5852280669258,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603308&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603308&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603308&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603308&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603308&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603308&boardType=arr&time=now&start=yes
8603309,Christianshavn st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,725826,6175429,55.6720538574613,12.5913850169458,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603309&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603309&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603309&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603309&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603309&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603309&boardType=arr&time=now&start=yes
8603310,Islands Brygge st (Metro),2,Metro,http://geo.oiorest.dk/img/RP_pictogram_metro web.png,725488,6174449,55.6634223733612,12.5852168933798,http://www.rejseplanen.dk/bin/query.exe/mn?S=8603310&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8603310&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8603310&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8603310&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603310&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8603310&boardType=arr&time=now&start=yes
