holdepladsnr,navn,type nr,type navn,type ikon,etrs89koordinat øst,etrs89koordinat nord,wgs84koordinat bredde,wgs84koordinat længde,rejseplanen herfra,rejseplanen hertil,rejseplanen herframobil,rejseplanen hertilmobil,rejseplanen afgangstavle,rejseplanen ankomsttavle
86,Snogegårdsvej (Gladsaxe),3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,719344,6183908,55.7510691322802,12.4953084152533,http://www.rejseplanen.dk/bin/query.exe/mn?S=86&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=86&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=86&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=86&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=86&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=86&boardType=arr&time=now&start=yes
860,Hørgården,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,725978,6173900,55.6582714745223,12.5925391175219,http://www.rejseplanen.dk/bin/query.exe/mn?S=860&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=860&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=860&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=860&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=860&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=860&boardType=arr&time=now&start=yes
8600001,Frederikshavn st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,592437,6367551,57.4412349226352,10.5399985909342,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600001&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600001&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600001&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600001&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600001&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600001&boardType=arr&time=now&start=yes
8600005,Kvissel st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,584718,6370809,57.471997166788,10.4125746844536,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600005&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600005&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600005&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600005&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600005&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600005&boardType=arr&time=now&start=yes
8600006,Tolne st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,578636,6372209,57.4856645822766,10.311646386086,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600006&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600006&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600006&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600006&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600006&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600006&boardType=arr&time=now&start=yes
8600007,Sindal st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,572118,6370365,57.470187303756,10.202410674678,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600007&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600007&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600007&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600007&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600007&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600007&boardType=arr&time=now&start=yes
8600009,Hjørring st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,559124,6368630,57.4564835465807,9.98538520545337,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600009&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600009&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600009&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600009&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600009&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600009&boardType=arr&time=now&start=yes
8600013,Vrå st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,556718,6357250,57.3545789275338,9.94266331163833,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600013&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600013&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600013&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600013&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600013&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600013&boardType=arr&time=now&start=yes
8600015,Brønderslev st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,556881,6347800,57.2696804353956,9.94319608845741,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600015&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600015&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600015&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600015&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600015&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600015&boardType=arr&time=now&start=yes
8600020,Aalborg st,3,Station,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,555643,6322550,57.0430346227323,9.91704089643385,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600020&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600020&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600020&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600020&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600020&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600020&boardType=arr&time=now&start=yes
