holdepladsnr,navn,type nr,type navn,type ikon,etrs89koordinat øst,etrs89koordinat nord,wgs84koordinat bredde,wgs84koordinat længde,rejseplanen herfra,rejseplanen hertil,rejseplanen herframobil,rejseplanen hertilmobil,rejseplanen afgangstavle,rejseplanen ankomsttavle
8600676,Virum st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,717718,6188792,55.7956062137611,12.4733489391256,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600676&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600676&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600676&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600676&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600676&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600676&boardType=arr&time=now&start=yes
8600677,Holte st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,717367,6190120,55.8076746342654,12.4688208126945,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600677&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600677&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600677&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600677&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600677&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600677&boardType=arr&time=now&start=yes
8600678,Birkerød st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,714380,6193632,55.8405083678198,12.4240180731165,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600678&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600678&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600678&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600678&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600678&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600678&boardType=arr&time=now&start=yes
8600679,Brøndbyøster st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,716363,6174170,55.665068425431,12.440210794811,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600679&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600679&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600679&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600679&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600679&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600679&boardType=arr&time=now&start=yes
8600680,Rødovre st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,717523,6174200,55.6648196427809,12.4586411797635,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600680&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600680&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600680&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600680&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600680&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600680&boardType=arr&time=now&start=yes
8600681,Allerød st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,710024,6196816,55.8709827546035,12.3570447809922,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600681&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600681&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600681&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600681&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600681&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600681&boardType=arr&time=now&start=yes
8600683,Hillerød st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,706842,6202899,55.9269233246794,12.3109284215726,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600683&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600683&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600683&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600683&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600683&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600683&boardType=arr&time=now&start=yes
8600688,Emdrup st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,722362,6180696,55.7208874482028,12.5406868797465,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600688&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600688&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600688&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600688&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600688&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600688&boardType=arr&time=now&start=yes
8600689,Vangede st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,721167,6182728,55.7396576150558,12.5233421143952,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600689&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600689&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600689&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600689&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600689&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600689&boardType=arr&time=now&start=yes
8600690,Buddinge st,1,S-togsstation,http://geo.oiorest.dk/img/RP_pictogram_tog web.png,719285,6183494,55.7473828454107,12.4940379316341,http://www.rejseplanen.dk/bin/query.exe/mn?S=8600690&start=yes,http://www.rejseplanen.dk/bin/query.exe/mn?Z=8600690&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?S=8600690&start=yes,http://www.rejseplanen.dk/mobil-bin/query.exe/mox?Z=8600690&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600690&boardType=dep&time=now&start=yes,http://www.rejseplanen.dk/bin/stboard.exe/mn?ml=m&input=8600690&boardType=arr&time=now&start=yes
